Department,Object Name,Title
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Andiron,Andiron
American Decorative Arts,Apothecary jar,Apothecary Jar
American Decorative Arts,Apothecary jar,Apothecary Jar
American Decorative Arts,Figure,Figure of an Apple
American Decorative Arts,Figure,Figure of an Apple
American Decorative Arts,Figure,Figure of an Apple
American Decorative Arts,Statuette,Statuette: Arab Waiter and Tray
American Decorative Arts,Frame,Frame
American Decorative Arts,Architectural elements,Architectural Elements
American Decorative Arts,Architectural elements,"Architectural elements from Halsted House, Rye, New York"
American Decorative Arts,Loggia elements,"Architectural Elements from Laurelton Hall, Oyster Bay, New York"
American Decorative Arts,Bedroom,"Architectural elements from North Family Dwelling, New Lebanon, New York"
American Decorative Arts,Argand lamp,Argand lamp
American Decorative Arts,Argand lamp,Argand Lamp
American Decorative Arts,Argand lamp,Argand Lamp
American Decorative Arts,Argand lamp,Argand Lamp
American Decorative Arts,Lamp shade,Lamp Shade
American Decorative Arts,Lamp shade,Lamp Shade
American Decorative Arts,Armchair,Three-legged Armchair
American Decorative Arts,Armchair,Turned Armchair
American Decorative Arts,Armchair,Turned Armchair
American Decorative Arts,Banister-back armchair,Banister-back armchair
American Decorative Arts,Armchair,Armchair
American Paintings and Sculpture,Drawing,Heads and Feet of Two Javanese Dancers (from Sketchbook of Javanese Dancers)
American Decorative Arts,Slat-back armchair,Slat-back armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Cane armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Spindle-back armchair,Spindle-back armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Leather armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Turned armchair
American Paintings and Sculpture,Drawing,"Hunting Birds, after Egyptian Relief Sculpture (from Scrapbook)"
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Spindle-back armchair
American Decorative Arts,Armchair,Turned Armchair
American Decorative Arts,Armchair,Spindle-back armchair
American Decorative Arts,Armchair,Splat-back armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Teapot,Teapot
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Rocking chair,Rocking Chair
American Decorative Arts,Reclining armchair,Reclining Armchair
American Decorative Arts,Folding armchair,Folding Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Folding armchair,Folding Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Side chair,Side chair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Revolving armchair,Revolving Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Side Chair,Side Chair
American Decorative Arts,Side Chair,Side Chair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Square-back armchair
American Decorative Arts,Armchair,Square-back armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Child's Armchair
American Decorative Arts,Armchair,Child's Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Armchair,Armchair
American Decorative Arts,Furniture hardware,Furniture Hardware
American Decorative Arts,Astral lamp,Astral Lamp
American Decorative Arts,Astral lamp,Astral Lamp
American Decorative Arts,Window,Autumn Landscape
American Decorative Arts,Aviary,Aviary
American Decorative Arts,Figure,Figure of a Baby in a Cradle Holding a Kitten
American Decorative Arts,Baby's bottle,Baby's Bottle
American Decorative Arts,Furniture hardware,Furniture Hardware
American Decorative Arts,Furniture hardware,Furniture Hardware
American Decorative Arts,Furniture hardware,Furniture Hardware
American Decorative Arts,Furniture hardware,Furniture Hardware
American Decorative Arts,Furniture hardware,Furniture Hardware
American Decorative Arts,Furniture hardware,Furniture Hardware
American Decorative Arts,Furniture hardware,Furniture Hardware
American Decorative Arts,Furniture hardware,Furniture Hardware
American Decorative Arts,Furniture hardware,Furniture Hardware
American Decorative Arts,Furniture hardware,Furniture Hardware
American Decorative Arts,Furniture hardware,Furniture Hardware
American Decorative Arts,Badge,Badge of the Cincinnati Medal
American Decorative Arts,Baking dish,Baking Dish
American Decorative Arts,Balcony,Balcony
American Decorative Arts,Ball,Ball
American Decorative Arts,Ball,Ball
American Decorative Arts,Wall panel,"Panel from the Ballroom at Gadsby's Tavern, Alexandria, Virginia"
American Decorative Arts,Baluster,"Baluster from the Carson, Pirie, Scott Company, Chicago"
American Decorative Arts,Baluster,"Baluster from the Carson, Pirie, Scott Company, Chicago"
American Decorative Arts,Baluster,"Baluster from the Carson, Pirie, Scott Company, Chicago"
American Decorative Arts,Baluster,"Baluster from the Carson, Pirie, Scott Company, Chicago"
American Decorative Arts,Baluster,"Baluster from the Chicago Stock Exchange Building, Chicago"
American Decorative Arts,Baluster,"Baluster from the Chicago Stock Exchange Building, Chicago"
American Decorative Arts,Baluster,"Baluster from the Guaranty Building, Buffalo, New York"
American Decorative Arts,Vase,Baluster Vase
American Decorative Arts,Vase,Baluster Vase
American Decorative Arts,Vase,Baluster Vase
American Decorative Arts,Banjo clock,Banjo clock
American Decorative Arts,Banjo clock,Banjo Clock
American Decorative Arts,Banjo clock,Banjo Clock
American Decorative Arts,Bank,Bank
American Decorative Arts,Baptismal basin,Baptismal Basin
American Decorative Arts,Baptismal bowl,Baptismal Bowl
American Decorative Arts,Baptismal certificate,Baptismal Certificate
American Decorative Arts,Furniture hardware,Furniture Hardware
American Decorative Arts,Furniture hardware,Furniture Hardware
American Decorative Arts,Bottle,Bar Bottle
American Decorative Arts,Mug,Barrel Mug
American Decorative Arts,Mug,Barrel Mug
American Decorative Arts,Keg,Keg
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Wash basin,Wash basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin,Basin
American Decorative Arts,Basin Stand,Basin Stand
American Decorative Arts,Basin Stand,Basin Stand
American Decorative Arts,Basin stand,Basin stand
American Decorative Arts,Basin Stand,Basin Stand
American Decorative Arts,Basket,Basket
American Decorative Arts,Basket,Basket
American Decorative Arts,Basket,Basket
American Decorative Arts,Basket,Basket
American Decorative Arts,Basket,Basket
American Decorative Arts,Basket,Basket
American Decorative Arts,Basket,Basket
American Decorative Arts,Basket,Basket
American Decorative Arts,Basket,Basket
American Decorative Arts,Basket,Basket
American Decorative Arts,Door,"Batten Door from the Williams House, near Preston, Connecticut"
American Decorative Arts,Door,"Batten Door from the Williams House, near Preston, Connecticut"
American Decorative Arts,Oil cruet,Oil Cruet
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Pulque beaker,Pulque Beaker
American Decorative Arts,Pulque beaker,Pulque Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Tumbler,Tumbler
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Tumbler,Tumbler
American Decorative Arts,Tumbler,Tumbler
American Decorative Arts,Tumbler,Tumbler
American Decorative Arts,Tumbler,Tumbler
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Beaker,Beaker
American Decorative Arts,Vase,Beaker Vase
American Decorative Arts,Vase,Beaker Vase
American Decorative Arts,Bean pot,Covered Bean Pot
American Decorative Arts,Figure,Bear figure and spill holder
American Decorative Arts,Folding bedstead,Folding Bedstead
American Decorative Arts,Bedstead,Bedstead
American Decorative Arts,Bedstead,Bedstead
American Decorative Arts,Bedstead,Bedstead
American Decorative Arts,Bedstead,Bedstead
American Decorative Arts,Bedstead,Bedstead
American Decorative Arts,Bedstead,Bedstead
American Decorative Arts,Bedstead,Bedstead
American Decorative Arts,Bedstead,Bedstead
American Decorative Arts,Bedstead,Bedstead
American Decorative Arts,Bedstead,"Bedstead from the Henry Gurdon Marquand House, New York City"
American Decorative Arts,Bell,Bell
American Decorative Arts,Bell,Bell
American Decorative Arts,Bell pull,Bell Pull
American Decorative Arts,Bellows,Bellows
American Decorative Arts,Bellows,Bellows
American Decorative Arts,Bellows,Bellows
American Decorative Arts,Bellows,Bellows
American Decorative Arts,Bench,Bench
American Decorative Arts,Bench,Bench
American Decorative Arts,Sleigh seat,Sleigh Seat
American Decorative Arts,Bench,Bench
American Decorative Arts,Bench,Bench
American Decorative Arts,Bench,Bench
American Decorative Arts,Bench,Bench
American Decorative Arts,Bench,Bench
American Decorative Arts,Bench,Bench
American Decorative Arts,Figure,Figure of Benjamin Franklin
American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin
American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin
American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin
American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin
American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin
American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin
American Decorative Arts,Painting,Portrait of Benjamin Franklin
American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin
American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin
American Decorative Arts,Painting,Portrait of Benjamin Franklin
American Decorative Arts,Bust,Bust of Benjamin Franklin
American Decorative Arts,Bust,Bus
American Decorative Arts,Bust,Bus
American Decorative Arts,Bust,Bus
American Decorative Arts,Bust,Bus
American Decorative Arts,Cameo medallion,Cameo Medallion of Benjamin Franklin
American Decorative Arts,Painting,Portrait of Benjamin Franklin
American Decorative Arts,Painting,Portrait of Benjamin Franklin
American Decorative Arts,Painting,Medallion of Benjamin Franklin
American Decorative Arts,Painting,Portrait of Benjamin Franklin
American Decorative Arts,Painting,Portrait of Benjamin Franklin
American Decorative Arts,Mask cast,Mask Cast of Benjamin Franklin
American Decorative Arts,Medallion,Medallio
American Decorative Arts,Medallion,Medallio
American Decorative Arts,Medallion,Medallio
American Decorative Arts,Medallion,Medallio
American Decorative Arts,Medallion,Medallion of Benjamin Franklin
American Decorative Arts,Medallion,Medallio
American Decorative Arts,Medallion,Medallio
American Decorative Arts,"Painting, miniature",Portrait Miniature of Benjamin Franklin
American Decorative Arts,Portrait Panel,Portrait Panel of Benjamin Franklin
American Decorative Arts,Plaque,Plaqu
American Decorative Arts,Bust,Portrait Bust of Benjamin Franklin
American Decorative Arts,Bust,Portrait of Benjamin Franklin
American Decorative Arts,Painting,Portrait of Benjamin Franklin
American Decorative Arts,Bust,Profile Bust of Benjamin Franklin
American Decorative Arts,Statuette,Statuett
American Decorative Arts,Side chair,Bentwood Side Chair
American Decorative Arts,Berry dish,Berry Dish
American Decorative Arts,Spoon,Berry Spoon
American Decorative Arts,Betty lamp,Betty Lamp
American Decorative Arts,Betty lamp,Betty Lamp
American Decorative Arts,Betty lamp,Betty Lamp
American Decorative Arts,Betty lamp,Betty Lamp
American Decorative Arts,Betty lamp,Betty Lamp
American Decorative Arts,Bible,Bible
American Decorative Arts,Bible,Bible
American Decorative Arts,Bible,Bible
American Decorative Arts,Bible,Bible
American Decorative Arts,Bible,Bible
American Decorative Arts,Bill holder,Bill Holder
American Decorative Arts,Fountain,Bird Fountain
American Decorative Arts,Figure,Bird Figure
American Decorative Arts,Figure,Figure of a Bird
American Decorative Arts,Birdhouse,Birdhouse
American Decorative Arts,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate
American Decorative Arts,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate
American Decorative Arts,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate
American Decorative Arts,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate
American Decorative Arts,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate
American Decorative Arts,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate
American Decorative Arts,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate
American Decorative Arts,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate
American Decorative Arts,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate
American Decorative Arts,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate
American Decorative Arts,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate
American Decorative Arts,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate
American Decorative Arts,"Certificate, Fraktur",Birth and baptismal certificate
American Decorative Arts,"Birth and baptismal certificate, Fraktur",Birth and Baptismal Certificate
American Decorative Arts,"Birth certificate, Fraktur",Birth Certificate
American Decorative Arts,"Birth certificate, Fraktur",Birth Certificate
American Decorative Arts,"Birth, baptismal and marriage certificate, Fraktur","Birth, Baptismal, and Marriage Certificate"
American Decorative Arts,Bitters bottle,Bitters Bottle
American Decorative Arts,Bitters bottle,Bitters Bottle
American Decorative Arts,Bitters bottle,Bitters Bottle
American Decorative Arts,Desk,Desk
American Decorative Arts,Desk,Desk
American Decorative Arts,Blotter,Blotter
American Decorative Arts,Blotter,Blotter
American Decorative Arts,Blotter holders,Pair of Blotter Holders
American Decorative Arts,Bobbin and thread,Bobbin and Thread
American Decorative Arts,Bobeche,Bobeche
American Decorative Arts,"Bolt, nut, and washer","Bolt, Nut, and Washer"
American Decorative Arts,Bonnet,Bonnet
American Decorative Arts,Bonnet,Bonnet
American Decorative Arts,Flask,Flask
American Decorative Arts,Flask,Book flask
American Decorative Arts,Flask,Book flask
American Decorative Arts,Book,"Book of Common Prayer, Bible, and Book of Psalms"
American Decorative Arts,Bookcase,Bookcase
American Decorative Arts,Bookcase,Bookcase
American Decorative Arts,Bookcase,Bookcase
American Decorative Arts,Bookend,Bookend
American Decorative Arts,Sculpture,Boot with Spur
American Decorative Arts,Sculpture,Boot with Spur
American Decorative Arts,Tile,Border Tile
American Decorative Arts,Tile,Border Tile
American Decorative Arts,Tile,Border Tile
American Decorative Arts,Tile,Border Tile
American Decorative Arts,Tile,Border Tile
American Decorative Arts,Tile,Border Tile
American Decorative Arts,Tile,Border Tile
American Decorative Arts,Tile,Border Tile
American Decorative Arts,Tile,Border Tile
American Decorative Arts,Tile,Border Tile
American Decorative Arts,Tile,Border Tile
American Decorative Arts,Tile,Border Tile
American Decorative Arts,Tile,Border Tile
American Decorative Arts,Tile,Border Tile
American Decorative Arts,Tile,Border Tile
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Ring bottle,Ring bottle
American Decorative Arts,Ring bottle,Ring bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Sack bottle,Sack bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Flask,Figured flask
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Flask,Scroll flask
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Figured bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle corker,Bottle Corker
American Decorative Arts,Bottle fragment,Fragment of a Bottle
American Decorative Arts,Bottle fragment,Fragment of a Bottle
American Decorative Arts,Bottle fragment,Fragment of a Bottle
American Decorative Arts,Bottle fragment,Fragment of a Bottle
American Decorative Arts,Bottle fragment,Fragment of a Bottle
American Decorative Arts,Bottle fragment,Fragment of a Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bottle,Bottle
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Basin,Basin
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Bowl,Bowl
American Decorative Arts,Cup,Dram Cup
American Decorative Arts,Bowl,Bowl
